"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C02_001E","S1903_C02_001M","S1903_C01_002E","S1903_C01_002M","S1903_C02_002E","S1903_C02_002M","S1903_C01_003E","S1903_C01_003M","S1903_C02_003E","S1903_C02_003M","S1903_C01_004E","S1903_C01_004M","S1903_C02_004E","S1903_C02_004M","S1903_C01_005E","S1903_C01_005M","S1903_C02_005E","S1903_C02_005M","S1903_C01_006E","S1903_C01_006M","S1903_C02_006E","S1903_C02_006M","S1903_C01_007E","S1903_C01_007M","S1903_C02_007E","S1903_C02_007M","S1903_C01_008E","S1903_C01_008M","S1903_C02_008E","S1903_C02_008M","S1903_C01_009E","S1903_C01_009M","S1903_C02_009E","S1903_C02_009M","S1903_C01_010E","S1903_C01_010M","S1903_C02_010E","S1903_C02_010M","S1903_C01_011E","S1903_C01_011M","S1903_C02_011E","S1903_C02_011M","S1903_C01_012E","S1903_C01_012M","S1903_C02_012E","S1903_C02_012M","S1903_C01_013E","S1903_C01_013M","S1903_C02_013E","S1903_C02_013M","S1903_C01_014E","S1903_C01_014M","S1903_C02_014E","S1903_C02_014M","S1903_C01_015E","S1903_C01_015M","S1903_C02_015E","S1903_C02_015M","S1903_C01_016E","S1903_C01_016M","S1903_C02_016E","S1903_C02_016M","S1903_C01_017E","S1903_C01_017M","S1903_C02_017E","S1903_C02_017M","S1903_C01_018E","S1903_C01_018M","S1903_C02_018E","S1903_C02_018M","S1903_C01_019E","S1903_C01_019M","S1903_C02_019E","S1903_C02_019M","S1903_C01_020E","S1903_C01_020M","S1903_C02_020E","S1903_C02_020M","S1903_C01_021E","S1903_C01_021M","S1903_C02_021E","S1903_C02_021M","S1903_C01_022E","S1903_C01_022M","S1903_C02_022E","S1903_C02_022M","S1903_C01_023E","S1903_C01_023M","S1903_C02_023E","S1903_C02_023M","S1903_C01_024E","S1903_C01_024M","S1903_C02_024E","S1903_C02_024M","S1903_C01_025E","S1903_C01_025M","S1903_C02_025E","S1903_C02_025M","S1903_C01_026E","S1903_C01_026M","S1903_C02_026E","S1903_C02_026M","S1903_C01_027E","S1903_C01_027M","S1903_C02_027E","S1903_C02_027M","S1903_C01_028E","S1903_C01_028M","S1903_C02_028E","S1903_C02_028M","S1903_C01_029E","S1903_C01_029M","S1903_C02_029E","S1903_C02_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_030E","S1903_C02_030M",
"8600000US10069","ZCTA5 10069","2850","487","163750","25568","74.1","9.0","193075","62074","1.6","2.3","-","**","0.0","1.0","-","**","20.0","8.2","113787","72596","0.0","1.0","-","**","0.0","1.0","-","**","4.2","4.0","(X)","(X)","0.0","1.0","-","**","74.1","9.0","193075","62074","3.9","3.2","41088","32321","61.2","8.5","173986","30173","25.5","8.4","202600","127758","9.4","4.0","18942","9242","1336","352","236287","31026","39.8","13.7","250,000+","***","60.2","13.7","235429","42019","83.7","12.0","(X)","(X)","13.1","11.5","(X)","(X)","3.2","4.0","(X)","(X)","1514","375","101806","76253","55.1","11.7","80746","28112","52.0","11.8","77350","33289","3.0","3.2","-","**","44.9","11.7","154407","32608","34.5","12.9","154174","60653","10.4","7.5","163125","76720","15.3","(X)","(X)","(X)","7.0","(X)","(X)","(X)","22.7","(X)","(X)","(X)",
"8600000US10075","ZCTA5 10075","14145","903","111691","14719","89.7","3.4","114262","18165","1.5","1.7","(X)","(X)","0.0","0.2","-","**","5.2","2.4","94184","22671","0.0","0.2","-","**","2.3","2.0","115645","59593","1.4","1.2","73843","66332","6.8","3.0","100643","71261","84.8","3.7","116320","25023","1.8","0.8","52904","20858","39.1","3.8","117073","16437","32.4","3.9","151589","38238","26.7","3.2","71601","26044","5825","750","188401","86157","34.0","7.5","178180","144321","66.0","7.5","211250","69896","88.3","4.4","(X)","(X)","7.5","3.7","(X)","(X)","4.2","3.0","(X)","(X)","8320","887","80350","12659","67.9","5.6","(X)","(X)","60.3","6.6","(X)","(X)","7.5","3.5","(X)","(X)","32.1","5.6","(X)","(X)","26.9","5.3","(X)","(X)","5.3","2.4","(X)","(X)","27.0","(X)","(X)","(X)","29.6","(X)","(X)","(X)","25.1","(X)","(X)","(X)",
"8600000US10103","ZCTA5 10103","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","(X)","(X)","(X)","-","(X)","(X)","(X)","-","(X)","(X)","(X)",
"8600000US10110","ZCTA5 10110","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","(X)","(X)","(X)","-","(X)","(X)","(X)","-","(X)","(X)","(X)",
"8600000US10111","ZCTA5 10111","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","(X)","(X)","(X)","-","(X)","(X)","(X)","-","(X)","(X)","(X)",
"8600000US10112","ZCTA5 10112","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","(X)","(X)","(X)","-","(X)","(X)","(X)","-","(X)","(X)","(X)",
"8600000US10115","ZCTA5 10115","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","(X)","(X)","(X)","-","(X)","(X)","(X)","-","(X)","(X)","(X)",
"8600000US10119","ZCTA5 10119","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","(X)","(X)","(X)","-","(X)","(X)","(X)","-","(X)","(X)","(X)",
"8600000US10128","ZCTA5 10128","31920","791","100200","6975","82.5","1.9","103351","4840","5.5","1.0","66615","46974","0.0","0.1","-","**","9.0","1.6","100504","15429","0.0","0.1","-","**","1.0","0.5","18850","13120","1.9","0.6","81395","26486","10.9","1.6","55598","19740","74.5","2.2","106738","7325","3.4","0.8","56509","14061","41.6","2.2","109803","11758","30.9","2.0","114912","11164","24.1","1.7","57539","9903","13784","876","165192","20327","42.4","3.2","205896","19032","57.6","3.2","147014","13507","80.4","3.4","207070","15671","16.6","3.2","64457","24313","3.1","1.1","72055","58607","18136","986","72043","4084","63.9","3.1","(X)","(X)","55.0","3.1","(X)","(X)","8.9","1.7","(X)","(X)","36.1","3.1","(X)","(X)","27.5","2.9","(X)","(X)","8.6","2.1","(X)","(X)","25.6","(X)","(X)","(X)","28.6","(X)","(X)","(X)","23.2","(X)","(X)","(X)",
"8600000US10152","ZCTA5 10152","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","(X)","(X)","(X)","-","(X)","(X)","(X)","-","(X)","(X)","(X)",
"8600000US10153","ZCTA5 10153","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","(X)","(X)","(X)","-","(X)","(X)","(X)","-","(X)","(X)","(X)",
"8600000US10154","ZCTA5 10154","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","(X)","(X)","(X)","-","(X)","(X)","(X)","-","(X)","(X)","(X)",
"8600000US10162","ZCTA5 10162","671","238","193510","41091","93.1","11.3","193050","36073","0.0","4.4","-","**","0.0","4.4","-","**","6.9","11.3","-","**","0.0","4.4","-","**","0.0","4.4","-","**","0.0","4.4","-","**","0.0","4.4","-","**","93.1","11.3","193050","36073","0.0","4.4","(X)","(X)","28.3","19.9","(X)","(X)","45.2","23.1","(X)","(X)","26.5","20.3","(X)","(X)","279","164","250,000+","***","68.1","30.3","250,000+","***","31.9","30.3","-","**","83.5","26.2","250,000+","***","0.0","10.2","-","**","16.5","26.2","-","**","392","243","192560","66977","27.6","28.8","-","**","27.6","28.8","-","**","0.0","7.4","-","**","72.4","28.8","193640","48070","72.4","28.8","193640","48070","0.0","7.4","-","**","43.1","(X)","(X)","(X)","14.7","(X)","(X)","(X)","63.3","(X)","(X)","(X)",
"8600000US10165","ZCTA5 10165","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","(X)","(X)","(X)","-","(X)","(X)","(X)","-","(X)","(X)","(X)",
"8600000US10167","ZCTA5 10167","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","(X)","(X)","(X)","-","(X)","(X)","(X)","-","(X)","(X)","(X)",
"8600000US10168","ZCTA5 10168","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","(X)","(X)","(X)","-","(X)","(X)","(X)","-","(X)","(X)","(X)",
"8600000US10169","ZCTA5 10169","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","(X)","(X)","(X)","-","(X)","(X)","(X)","-","(X)","(X)","(X)",
"8600000US10170","ZCTA5 10170","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","(X)","(X)","(X)","-","(X)","(X)","(X)","-","(X)","(X)","(X)",
"8600000US10171","ZCTA5 10171","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","(X)","(X)","(X)","-","(X)","(X)","(X)","-","(X)","(X)","(X)",
"8600000US10172","ZCTA5 10172","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","(X)","(X)","(X)","-","(X)","(X)","(X)","-","(X)","(X)","(X)",
"8600000US10173","ZCTA5 10173","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","(X)","(X)","(X)","-","(X)","(X)","(X)","-","(X)","(X)","(X)",
"8600000US10174","ZCTA5 10174","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","(X)","(X)","(X)","-","(X)","(X)","(X)","-","(X)","(X)","(X)",
"8600000US10177","ZCTA5 10177","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","(X)","(X)","(X)","-","(X)","(X)","(X)","-","(X)","(X)","(X)",
"8600000US10199","ZCTA5 10199","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","(X)","(X)","(X)","-","(X)","(X)","(X)","-","(X)","(X)","(X)",
"8600000US10271","ZCTA5 10271","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","(X)","(X)","(X)","-","(X)","(X)","(X)","-","(X)","(X)","(X)",
"8600000US10278","ZCTA5 10278","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","(X)","(X)","(X)","-","(X)","(X)","(X)","-","(X)","(X)","(X)",
"8600000US10279","ZCTA5 10279","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","11","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","(X)","(X)","(X)","-","(X)","(X)","(X)","-","(X)","(X)","(X)",
"8600000US10280","ZCTA5 10280","4588","330","145432","23202","74.7","5.5","145409","26228","2.8","2.4","150466","131087","0.0","0.7","-","**","16.6","4.2","156423","54509","0.0","0.7","-","**","2.4","1.9","85313","62688","3.5","2.2","146164","66200","9.4","3.8","146422","98457","68.5","5.4","143140","27324","3.1","2.1","121944","60874","49.6","5.3","129590","44723","36.1","5.5","181364","61720","11.2","3.2","84063","17791","2233","301","201364","16274","56.2","8.9","202248","30338","43.8","8.9","200070","39298","87.6","5.5","(X)","(X)","8.2","4.9","(X)","(X)","4.2","3.1","(X)","(X)","2355","321","116886","14448","54.1","10.4","123862","9510","35.9","9.0","119375","27718","18.3","8.0","124440","22500","45.9","10.4","102866","15376","38.3","10.3","96957","10573","7.5","4.0","155596","46465","21.0","(X)","(X)","(X)","23.7","(X)","(X)","(X)","18.4","(X)","(X)","(X)",
"8600000US10282","ZCTA5 10282","2439","282","250,000+","***","82.0","6.6","250,000+","***","2.5","2.5","(X)","(X)","0.0","1.2","-","**","12.2","5.5","222163","92160","0.0","1.2","-","**","3.3","4.3","-","**","0.0","1.2","-","**","5.9","4.4","250,000+","***","79.5","6.7","250,000+","***","2.3","2.8","-","**","65.1","7.6","250,000+","***","22.3","7.9","196971","180693","10.2","3.8","77574","64545","1458","250","250,000+","***","72.4","9.1","250,000+","***","27.6","9.1","250,000+","***","88.1","7.7","250,000+","***","10.6","7.3","73170","46361","1.3","2.2","-","**","981","223","140197","83838","56.6","12.7","(X)","(X)","51.0","13.6","(X)","(X)","5.6","5.3","(X)","(X)","43.4","12.7","(X)","(X)","35.6","14.2","(X)","(X)","7.8","8.0","(X)","(X)","18.2","(X)","(X)","(X)","21.4","(X)","(X)","(X)","13.5","(X)","(X)","(X)",
"8600000US10301","ZCTA5 10301","14063","372","54605","3507","61.5","2.1","63017","3764","25.1","2.0","47776","6233","0.4","0.4","-","**","4.8","1.1","60179","30863","0.0","0.2","-","**","5.0","1.1","39596","6512","3.2","1.1","46250","16560","20.9","2.1","49123","6716","47.8","2.1","67583","6515","3.2","1.1","31759","11097","33.9","2.3","57069","10292","42.1","2.7","64688","4907","20.8","1.5","37568","4807","8715","422","66854","6560","47.3","2.9","52832","7946","52.7","2.9","79824","7859","63.6","3.2","90182","4669","27.8","3.0","26816","6405","8.6","2.4","49850","8903","5348","340","37459","3788","51.3","4.0","(X)","(X)","46.6","4.1","(X)","(X)","4.7","1.6","(X)","(X)","48.7","4.0","(X)","(X)","38.0","4.0","(X)","(X)","10.7","3.2","(X)","(X)","40.9","(X)","(X)","(X)","46.4","(X)","(X)","(X)","31.5","(X)","(X)","(X)",
"8600000US10302","ZCTA5 10302","6017","273","54170","5824","65.3","3.7","51366","9431","20.0","2.6","54375","12610","0.2","0.3","-","**","5.1","1.5","93500","55611","0.0","0.5","-","**","6.1","2.2","26456","9204","3.3","1.2","(X)","(X)","31.5","3.7","45224","6539","41.5","3.0","59894","11847","1.2","0.8","31071","30658","32.0","3.6","55739","14747","47.1","3.9","71171","13057","19.6","2.7","29622","5997","4225","315","64109","8621","49.6","5.3","58692","10689","50.4","5.3","74219","14543","64.8","5.4","90634","7764","26.0","4.6","30357","12228","9.2","3.3","47109","29503","1792","243","30104","6704","54.1","8.5","(X)","(X)","50.8","8.7","(X)","(X)","3.3","1.8","(X)","(X)","45.9","8.5","(X)","(X)","36.2","7.7","(X)","(X)","9.7","5.1","(X)","(X)","46.5","(X)","(X)","(X)","49.8","(X)","(X)","(X)","35.8","(X)","(X)","(X)",
"8600000US10303","ZCTA5 10303","8029","302","52553","5498","38.1","3.4","57193","5698","42.4","2.9","43125","8772","0.3","0.3","(X)","(X)","7.2","1.2","73981","19342","0.0","0.4","-","**","9.9","2.5","39476","20130","2.1","0.9","78194","73594","29.6","2.7","52523","12913","21.4","2.4","57813","6253","4.1","1.7","(X)","(X)","35.0","3.3","(X)","(X)","43.8","3.9","(X)","(X)","17.0","2.6","(X)","(X)","6314","334","60313","5704","55.6","4.1","51250","16553","44.4","4.1","66277","4562","56.2","4.2","81761","8642","35.1","3.8","32131","7144","8.7","2.1","44038","30683","1715","230","24025","3065","62.6","6.9","(X)","(X)","58.3","6.7","(X)","(X)","4.3","2.8","(X)","(X)","37.4","6.9","(X)","(X)","31.3","6.3","(X)","(X)","6.1","3.7","(X)","(X)","56.9","(X)","(X)","(X)","58.0","(X)","(X)","(X)","51.2","(X)","(X)","(X)",
"8600000US10304","ZCTA5 10304","14564","397","54106","3554","54.6","2.8","64977","10892","26.2","2.4","40813","7080","0.5","0.4","-","**","8.2","1.4","72985","27002","0.0","0.2","-","**","7.2","2.0","31602","17236","3.3","1.3","30563","8961","24.9","2.4","41849","11826","39.4","1.9","79079","16173","2.9","1.4","25750","21218","35.2","3.1","54315","8164","41.6","2.9","65647","12993","20.3","2.2","43438","5741","10505","477","64113","9479","49.5","3.9","55762","9334","50.5","3.9","74691","9576","60.5","3.9","99505","8010","33.4","3.5","32708","8316","6.1","2.3","68333","18702","4059","414","32750","7948","51.9","6.3","(X)","(X)","45.9","6.0","(X)","(X)","6.0","2.7","(X)","(X)","48.1","6.3","(X)","(X)","39.0","6.4","(X)","(X)","9.1","3.1","(X)","(X)","42.1","(X)","(X)","(X)","42.3","(X)","(X)","(X)","40.7","(X)","(X)","(X)",
"8600000US10305","ZCTA5 10305","14931","324","72782","4419","80.7","2.0","74600","3649","4.6","1.2","41125","25909","0.8","0.6","(X)","(X)","9.8","1.1","72794","19632","0.0","0.2","-","**","2.7","1.1","(X)","(X)","1.4","0.6","63672","44277","13.7","1.8","60539","16639","71.5","2.0","75063","4019","0.8","0.4","32096","17243","33.8","2.5","82814","3841","43.0","2.0","73958","3907","22.3","1.5","39230","5689","10514","438","82759","5270","43.6","3.0","81739","7430","56.4","3.0","83924","6773","74.5","3.2","88728","6351","17.1","2.8","51607","13688","8.4","2.0","77688","25327","4417","348","34332","5881","53.0","5.1","26033","3470","49.4","5.1","25090","5370","3.6","1.8","77069","23296","47.0","5.1","52112","12696","37.6","4.5","42328","6662","9.4","2.9","82399","26205","38.5","(X)","(X)","(X)","39.2","(X)","(X)","(X)","35.1","(X)","(X)","(X)",
"8600000US10306","ZCTA5 10306","20215","383","79686","3678","90.3","1.5","80924","2382","2.5","0.9","(X)","(X)","0.1","0.1","-","**","4.8","1.0","67484","42053","0.0","0.1","-","**","1.1","0.6","56516","31910","1.1","0.5","(X)","(X)","11.6","1.4","58614","14571","80.5","1.8","82707","3862","1.0","0.6","16536","7043","28.6","2.0","93083","7888","43.7","1.8","98949","6599","26.7","1.4","39262","4789","14426","556","99306","5353","41.2","2.9","101750","9109","58.8","2.9","96629","8380","78.9","2.0","111485","4845","15.1","1.9","42402","8408","6.0","1.6","79792","25521","5789","525","33791","6061","58.4","4.2","(X)","(X)","53.4","4.2","(X)","(X)","5.0","2.4","(X)","(X)","41.6","4.2","(X)","(X)","34.8","4.4","(X)","(X)","6.7","2.4","(X)","(X)","45.0","(X)","(X)","(X)","47.7","(X)","(X)","(X)","37.8","(X)","(X)","(X)",
"8600000US10307","ZCTA5 10307","5110","174","76857","5974","95.3","1.9","77237","8065","0.5","0.8","-","**","0.2","0.4","-","**","2.7","1.3","104038","65772","0.0","0.6","-","**","1.1","1.4","70833","59393","0.2","0.3","-","**","6.2","3.2","71178","25345","90.2","3.4","77230","7243","0.6","0.4","(X)","(X)","29.7","3.8","(X)","(X)","48.0","3.7","(X)","(X)","21.6","3.1","(X)","(X)","3880","273","90494","8845","47.6","5.2","107368","21064","52.4","5.2","83724","10432","82.4","4.3","(X)","(X)","12.8","3.4","(X)","(X)","4.8","2.5","(X)","(X)","1230","250","38942","19732","58.9","11.9","(X)","(X)","52.0","11.3","(X)","(X)","6.8","5.2","(X)","(X)","41.1","11.9","(X)","(X)","34.8","11.7","(X)","(X)","6.3","4.5","(X)","(X)","45.6","(X)","(X)","(X)","44.2","(X)","(X)","(X)","49.8","(X)","(X)","(X)",
"8600000US10308","ZCTA5 10308","10675","305","87174","6158","95.7","1.4","89038","6164","0.0","0.3","-","**","0.4","0.4","-","**","2.9","1.1","54464","38499","0.2","0.3","-","**","0.6","0.5","(X)","(X)","0.2","0.3","-","**","8.5","2.0","96250","33812","88.3","2.3","87524","7501","0.4","0.3","(X)","(X)","25.7","2.8","(X)","(X)","46.8","3.1","(X)","(X)","27.2","2.8","(X)","(X)","8118","327","96361","3393","37.0","3.1","100938","6092","63.0","3.1","93424","6666","79.2","3.1","102095","4982","15.7","2.8","75329","9795","5.1","1.7","85221","15608","2557","292","37170","10746","67.8","5.9","(X)","(X)","62.3","6.1","(X)","(X)","5.5","3.4","(X)","(X)","32.2","5.9","(X)","(X)","24.3","5.0","(X)","(X)","7.9","3.6","(X)","(X)","44.3","(X)","(X)","(X)","43.6","(X)","(X)","(X)","44.3","(X)","(X)","(X)",
